pot,1_mod,2_mod,3_mod,slope
1,57.26144370439992,56.86719041898201,57.115018576122104,7.033306138655971
2,52.70420332486886,53.96700821588706,56.00791084796935,-0.3356128899846766
4,49.89820004011379,48.02296405220317,54.42958448898364,4.429644065946121
6,48.25229622816519,42.10291331169249,47.134546369263056,-4.368121546618222
7,40.37599170678781,35.77276579133845,32.80269497456068,0.5610849673610133
8,35.68955774225413,36.86645204419097,24.324376377740876,5.580621907880684
overall,,,,-0.34982563452008
