     ,1 HD ,2 HD ,3 HD ,4 HD
1 HR , 507 , 117 ,  14 ,   1
2 HR , 110 ,  61 ,  14 ,   0
3 HR ,  18 ,  24 ,   8 ,   6
4 HR ,   0 ,   0 ,   0 ,   0
