pot,1_mod,2_mod,3_mod,slope
1,53.77218356035684,60.1939518389055,57.04477040538658,2.916582234628097
2,51.094549644485525,56.38577631887522,56.4279164924716,1.3423382364476257
3,49.88701542614267,53.467298984055,50.97497160878946,1.792781224300684
4,48.48488315861043,50.76437937460776,51.20456547082858,-2.8494080538208384
5,47.76211569158167,47.412454091703665,55.22251067122959,8.24315625578453
6,47.014868850512464,45.967203261112765,43.89752659840902,4.779767910365717
7,41.12048048573116,33.73312432398616,32.37930044988364,-1.9137358662088078
overall,,,,-0.04163285439966704
