pot,stage,hd,hr,score_ratio,win_probability
2,1,2,3,1.0197381806150332,0.5302614697771495
7,1,4,3,0.9806438740941047,0.4697385302228504
2,1,1,1,1.2053023671854766,0.7658858190947979
7,1,4,3,0.8296673326338172,0.23411418090520209
4,1,1,1,1.0455105316153448,0.5686284242456688
5,1,2,3,0.9564705182404718,0.43137157575433127
4,1,2,2,0.82276045536275,0.22427385742971173
5,1,1,2,1.2154205923267254,0.7757261425702882
3,1,1,1,1.1699136085089035,0.7289375081315655
6,1,1,1,0.8547639695161214,0.27106249186843445
3,1,1,1,0.9734435759013794,0.4583647012101947
6,1,2,1,1.0272809074465667,0.5416352987898052
3,1,1,2,1.1055208728026824,0.6516153645907334
6,1,1,1,0.9045509900367877,0.3483846354092667
1,1,1,1,0.9936625046300336,0.490148449272202
8,1,2,3,1.0063779153791519,0.5098515507277981
1,1,1,1,1.3305373521314596,0.8663630289438564
8,1,1,2,0.7515760443688755,0.13363697105614358
2,1,2,2,1.2280469932848068,0.7875603913651099
7,1,1,1,0.8143010857631582,0.2124396086348901
3,1,3,3,0.8930765318185347,0.33023039612155813
6,1,1,2,1.1197248660915335,0.6697696038784419
3,1,1,1,1.4206891538818522,0.9137210136239435
6,1,1,1,0.7038837435111174,0.08627898637605647
4,1,2,3,0.8377856003028527,0.24587151632088444
5,1,3,3,1.1936228071221422,0.7541284836791156
4,1,1,2,1.1894054366195768,0.7497775020968129
5,1,1,2,0.8407562040763088,0.2502224979031872
4,1,2,1,0.8674927961983272,0.29041186244749095
5,1,1,2,1.1527473246836955,0.7095881375525089
1,1,3,2,1.1658021356312003,0.7243880270528107
8,1,1,3,0.857778493825258,0.2756119729471893
1,1,3,2,1.2689748197732171,0.822604722155114
8,1,2,2,0.7880377013144464,0.17739527784488596
1,1,1,2,1.3177418386759796,0.8581005602627909
8,1,2,2,0.7588739847592337,0.1418994397372091
7,2,1,1,0.5433289976854883,0.008900430422362327
6,2,1,1,1.8405054842643622,0.9910995695776378
2,2,2,2,1.0822151543289154,0.6205473641838811
3,2,1,1,0.92403067541602,0.3794526358161189
8,2,1,2,0.9773284969101628,0.46450822746947085
5,2,1,3,1.0231974235495165,0.5354917725305293
8,2,1,1,0.9286816130612043,0.3868970844558577
5,2,1,2,1.0767953041556508,0.6131029155441422
8,2,1,1,0.6792273422364699,0.06647843238022977
4,2,2,3,1.472261108787718,0.9335215676197702
7,2,1,1,0.8912853255839646,0.327410102707659
6,2,2,1,1.1219751647372924,0.6725898972923409
7,2,1,1,1.1602207209242628,0.7181264096650507
6,2,2,1,0.8619049651202344,0.2818735903349492
1,2,1,1,1.2751182221938204,0.8274401670238887
4,2,2,1,0.7842410080843453,0.17255983297611122
1,2,2,2,1.398666571627862,0.9037711733719986
4,2,3,2,0.7149666834720536,0.09622882662800136
7,2,2,2,0.7977241471183263,0.19000446220230494
6,2,2,1,1.2535661652118326,0.8099955377976953
7,2,2,2,0.790506811771327,0.18057263910641597
6,2,2,1,1.26501123723305,0.8194273608935843
8,2,1,1,0.5742001440553917,0.015578474280632193
5,2,3,2,1.741553028770283,0.9844215257193678
8,2,1,1,0.8740027912990479,0.30043856193102947
